20000	1	1.001	1.4	21
20000	2	1.001	1.4	24
20000	3	1.001	1.4	28
20000	4	1.001	1.4	29
20000	5	1.001	1.4	29
20000	6	1.001	1.4	29
2000	1	1.5	1.4	22
2000	2	1.5	1.4	24
2000	3	1.5	1.4	26
2000	4	1.5	1.4	25
2000	5	1.5	1.4	25
2000	6	1.5	1.4	25
5000	1	1.5	1.4	22
5000	2	1.5	1.4	24
5000	3	1.5	1.4	26
5000	4	1.5	1.4	26
5000	5	1.5	1.4	26
5000	6	1.5	1.4	26
10000	1	1.5	1.4	22
10000	2	1.5	1.4	26
10000	3	1.5	1.4	26
10000	4	1.5	1.4	25
10000	5	1.5	1.4	25
10000	6	1.5	1.4	25
20000	1	1.5	1.4	23
20000	2	1.5	1.4	27
20000	3	1.5	1.4	29
20000	4	1.5	1.4	29
20000	5	1.5	1.4	29
20000	6	1.5	1.4	29
